"","run","sv_x","sv_y","sv_z","nv_x","nv_y","nv_z","hp_x","hp_y","hp_z","sp_x","sp_y","sp_z","Collision_speed","X","Y","Z","head","inc","speed","rotation","lag","seal_length","seal_width"
"1",1855,0,1.81876218318939,0,7.65608692169189,0,-4.87274408340454,-12.1076164245605,-0.0357388108968735,-3.07190704345703,-12,0.0912576392292976,-3,9.25565754078133,-1,-12,-3,0,0,1.82,0.72780229725,0.69064,1.41,0.3
"2",1858,0,1.81876218318939,0,0.524959683418274,0,8.93714237213135,-11.9475164413452,0.145938843488693,-3.0164098739624,-12,0.545948326587677,-3,9.1354250797304,-1,-12,-3,0,0,1.82,0.72780229725,1.20862,1.41,0.3
"3",1860,0,1.81876218318939,0,-8.01634883880615,0,-4.0602650642395,-11.9969606399536,-0.208322018384933,-3.00843071937561,-12,0.636886477470398,-3,9.16817846980734,-1,-12,-3,0,0,1.82,0.72780229725,1.55394,1.41,0.3
"4",1863,0,1.81876218318939,0,0.535760641098022,0,8.99801921844482,-12.0319490432739,0.00894991867244244,-3.02726149559021,-12,0.545948326587677,-3,9.19561217086313,-1,-12,-3,0,0,1.82,0.72780229725,2.07192,1.41,0.3
"5",1864,0,1.81876218318939,0,-8.04422187805176,0,-4.00435447692871,-11.9996814727783,0.105860613286495,-2.99652194976807,-12,-0.605934679508209,-3,9.16800163402926,-1,-12,-3,0,0,1.82,0.72780229725,2.24458,1.41,0.3
"6",1871,0,1.81876218318939,0,7.65357255935669,0,-4.87581396102905,-12.1070470809937,-0.0389604680240154,-3.07152628898621,-12,0.0912576392292976,-3,9.25519468742628,-1,-12,-3,0,0,1.82,0.72780229725,3.4532,1.41,0.3
"7",1874,0,1.81876218318939,0,0.511046171188354,0,8.89581775665283,-11.8947782516479,0.202171713113785,-2.98876357078552,-12,-0.0906185805797577,-3,9.09420905970033,-1,-12,-3,0,0,1.82,0.72780229725,3.97118,1.41,0.3
"8",1876,0,1.81876218318939,0,0.448250114917755,0,9.00327014923096,-12.0337886810303,0.0596387125551701,-3.02257657051086,-12,-0.424058377742767,-3,9.19606981829332,-1,-12,-3,0,0,1.82,0.72780229725,4.3165,1.41,0.3
"9",1878,0,1.81876218318939,0,0.559583425521851,0,8.98663997650146,-12.0257501602173,-0.121944822371006,-2.99586296081543,-12,0.545948326587677,-3,9.18589823896619,-1,-12,-3,0,0,1.82,0.72780229725,4.66182,1.41,0.3
"10",1883,0,1.81876218318939,0,0.562227547168732,0,8.98605251312256,-12.02476978302,-0.134030133485794,-2.99738001823425,-12,0.545948326587677,-3,9.18548494091402,-1,-12,-3,0,0,1.82,0.72780229725,5.52512,1.41,0.3
"11",1884,0,1.81876218318939,0,7.56252956390381,0,-4.91720294952393,-12.0385065078735,-0.0546697005629539,-3.03850674629211,-12,0.424697458744049,-3,9.20209937865402,-1,-12,-3,0,0,1.82,0.72780229725,5.69778,1.41,0.3
"12",1885,0,1.81876218318939,0,-8.02126693725586,0,-4.0270562171936,-11.9911289215088,-0.13642629981041,-2.97173261642456,-12,0.636886477470398,-3,9.15782720892974,-1,-12,-3,0,0,1.82,0.72780229725,5.87044,1.41,0.3
"13",1889,0,1.81876218318939,0,-8.04043006896973,0,-3.99886655807495,-11.9892597198486,0.00842394307255745,-3.0050675868988,-12,-0.605934679508209,-3,9.16227827077077,-1,-12,-3,0,0,1.82,0.72780229725,6.56108,1.41,0.3
"14",1892,0,1.81876218318939,0,7.6537299156189,0,-4.81962966918945,-12.024037361145,0.218581557273865,-3.22643232345581,-12,0.424697458744049,-3,9.22585001236736,-1,-12,-3,0,0,1.82,0.72780229725,7.07906,1.41,0.3
"15",1898,0,1.81876218318939,0,0.547555148601532,0,8.99658679962158,-12.0301876068115,0.0112831564620137,-3.03018712997437,-12,0.545948326587677,-3,9.19490556132466,-1,-12,-3,0,0,1.82,0.72780229725,8.11502,1.41,0.3
"16",1899,0,1.81876218318939,0,0.576699554920197,0,9.04658317565918,-12.116415977478,0.0269242655485868,-2.9784243106842,-12,-0.0906185805797577,-3,9.24560144110573,-1,-12,-3,0,0,1.82,0.72780229725,8.28768,1.41,0.3
"17",1900,0,1.81876218318939,0,0.387328773736954,0,8.96677780151367,-11.9562387466431,0.284485816955566,-3.10766363143921,-12,-0.424058377742767,-3,9.15756660734005,-1,-12,-3,0,0,1.82,0.72780229725,8.46034,1.41,0.3
"18",1901,0,1.81876218318939,0,1.882967710495,0,8.69963550567627,-12.0768890380859,-0.00217844755388796,-2.06151247024536,-12,-0.211869388818741,-2,9.0849941219842,-1,-12,-2,0,0,1.82,0.72780229725,0,1.41,0.3
