X,Y,Z,head,inc,speed,flow,lag,seal_length,seal_width,run
-3,7,6.5,0,0,0.5,0.837758041,2.236,1.41,0.3,169553
-3,7,6.5,0,0,0.5,0.837758041,2.279,1.41,0.3,169554
-3,7,6.5,0,0,0.5,0.837758041,2.322,1.41,0.3,169555
-3,7,6.5,0,0,0.5,0.837758041,2.365,1.41,0.3,169556
-3,7,6.5,0,0,0.5,0.837758041,2.408,1.41,0.3,169557
-3,7,6.5,0,0,0.5,0.837758041,2.451,1.41,0.3,169558
-3,7,6.5,0,0,0.5,0.837758041,2.494,1.41,0.3,169559
-3,7,6.5,0,0,0.5,0.837758041,2.537,1.41,0.3,169560
-3,7,6.5,0,0,0.5,0.837758041,2.58,1.41,0.3,169561
-3,7,6.5,0,0,0.5,0.837758041,2.623,1.41,0.3,169562
-3,7,6.5,0,0,0.5,0.837758041,2.666,1.41,0.3,169563
-3,7,6.5,0,0,0.5,0.837758041,2.709,1.41,0.3,169564
-3,7,6.5,0,0,0.5,0.837758041,2.752,1.41,0.3,169565
-3,7,6.5,0,0,0.5,0.837758041,2.795,1.41,0.3,169566
-3,7,6.5,0,0,0.5,0.837758041,2.838,1.41,0.3,169567
-3,7,6.5,0,0,0.5,0.837758041,2.881,1.41,0.3,169568
-3,7,6.5,0,0,0.5,0.837758041,2.924,1.41,0.3,169569
-3,7,6.5,0,0,0.5,0.837758041,2.967,1.41,0.3,169570
-3,7,6.5,0,0,0.5,0.837758041,3.01,1.41,0.3,169571
-3,7,6.5,0,0,0.5,0.837758041,3.053,1.41,0.3,169572
-3,7,6.5,0,0,0.5,0.837758041,3.096,1.41,0.3,169573
-3,7,6.5,0,0,0.5,0.837758041,3.139,1.41,0.3,169574
-3,7,6.5,0,0,0.5,0.837758041,3.182,1.41,0.3,169575
-3,7,6.5,0,0,0.5,0.837758041,3.225,1.41,0.3,169576
-3,7,6.5,0,0,0.5,0.837758041,3.268,1.41,0.3,169577
-3,7,6.5,0,0,0.5,0.837758041,3.311,1.41,0.3,169578
-3,7,6.5,0,0,0.5,0.837758041,3.354,1.41,0.3,169579
-3,7,6.5,0,0,0.5,0.837758041,3.397,1.41,0.3,169580
-3,7,6.5,0,0,0.5,0.837758041,3.44,1.41,0.3,169581
-3,7,6.5,0,0,0.5,0.837758041,3.483,1.41,0.3,169582
-3,7,6.5,0,0,0.5,0.837758041,3.526,1.41,0.3,169583
-3,7,6.5,0,0,0.5,0.837758041,3.569,1.41,0.3,169584
-3,7,6.5,0,0,0.5,0.837758041,3.612,1.41,0.3,169585
-3,7,6.5,0,0,0.5,0.837758041,3.655,1.41,0.3,169586
-3,7,6.5,0,0,0.5,0.837758041,3.698,1.41,0.3,169587
-3,7,6.5,0,0,0.5,0.837758041,3.741,1.41,0.3,169588
-3,7,6.5,0,0,0.5,0.837758041,3.784,1.41,0.3,169589
-3,7,6.5,0,0,0.5,0.837758041,3.827,1.41,0.3,169590
-3,7,6.5,0,0,0.5,0.837758041,3.87,1.41,0.3,169591
-3,7,6.5,0,0,0.5,0.837758041,3.913,1.41,0.3,169592
-3,7,6.5,0,0,0.5,0.837758041,3.956,1.41,0.3,169593
-3,7,6.5,0,0,0.5,0.837758041,3.999,1.41,0.3,169594
-3,7,6.5,0,0,0.5,0.837758041,4.042,1.41,0.3,169595
-3,7,6.5,0,0,0.5,0.837758041,4.085,1.41,0.3,169596
-3,7,6.5,0,0,0.5,0.837758041,4.128,1.41,0.3,169597
-3,7,6.5,0,0,0.5,0.837758041,4.171,1.41,0.3,169598
-3,7,6.5,0,0,0.5,0.837758041,4.214,1.41,0.3,169599
-3,7,6.5,0,0,0.5,0.837758041,4.257,1.41,0.3,169600
-3,7,7,0,0,0.5,0.837758041,0,1.41,0.3,169601
-3,7,7,0,0,0.5,0.837758041,0.043,1.41,0.3,169602
-3,7,7,0,0,0.5,0.837758041,0.086,1.41,0.3,169603
-3,7,7,0,0,0.5,0.837758041,0.129,1.41,0.3,169604
-3,7,7,0,0,0.5,0.837758041,0.172,1.41,0.3,169605
-3,7,7,0,0,0.5,0.837758041,0.215,1.41,0.3,169606
-3,7,7,0,0,0.5,0.837758041,0.258,1.41,0.3,169607
-3,7,7,0,0,0.5,0.837758041,0.301,1.41,0.3,169608
-3,7,7,0,0,0.5,0.837758041,0.344,1.41,0.3,169609
-3,7,7,0,0,0.5,0.837758041,0.387,1.41,0.3,169610
-3,7,7,0,0,0.5,0.837758041,0.43,1.41,0.3,169611
-3,7,7,0,0,0.5,0.837758041,0.473,1.41,0.3,169612
-3,7,7,0,0,0.5,0.837758041,0.516,1.41,0.3,169613
-3,7,7,0,0,0.5,0.837758041,0.559,1.41,0.3,169614
-3,7,7,0,0,0.5,0.837758041,0.602,1.41,0.3,169615
-3,7,7,0,0,0.5,0.837758041,0.645,1.41,0.3,169616
-3,7,7,0,0,0.5,0.837758041,0.688,1.41,0.3,169617
-3,7,7,0,0,0.5,0.837758041,0.731,1.41,0.3,169618
-3,7,7,0,0,0.5,0.837758041,0.774,1.41,0.3,169619
-3,7,7,0,0,0.5,0.837758041,0.817,1.41,0.3,169620
-3,7,7,0,0,0.5,0.837758041,0.86,1.41,0.3,169621
-3,7,7,0,0,0.5,0.837758041,0.903,1.41,0.3,169622
-3,7,7,0,0,0.5,0.837758041,0.946,1.41,0.3,169623
-3,7,7,0,0,0.5,0.837758041,0.989,1.41,0.3,169624
-3,7,7,0,0,0.5,0.837758041,1.032,1.41,0.3,169625
-3,7,7,0,0,0.5,0.837758041,1.075,1.41,0.3,169626
-3,7,7,0,0,0.5,0.837758041,1.118,1.41,0.3,169627
-3,7,7,0,0,0.5,0.837758041,1.161,1.41,0.3,169628
-3,7,7,0,0,0.5,0.837758041,1.204,1.41,0.3,169629
-3,7,7,0,0,0.5,0.837758041,1.247,1.41,0.3,169630
-3,7,7,0,0,0.5,0.837758041,1.29,1.41,0.3,169631
-3,7,7,0,0,0.5,0.837758041,1.333,1.41,0.3,169632
-3,7,7,0,0,0.5,0.837758041,1.376,1.41,0.3,169633
-3,7,7,0,0,0.5,0.837758041,1.419,1.41,0.3,169634
-3,7,7,0,0,0.5,0.837758041,1.462,1.41,0.3,169635
-3,7,7,0,0,0.5,0.837758041,1.505,1.41,0.3,169636
-3,7,7,0,0,0.5,0.837758041,1.548,1.41,0.3,169637
-3,7,7,0,0,0.5,0.837758041,1.591,1.41,0.3,169638
-3,7,7,0,0,0.5,0.837758041,1.634,1.41,0.3,169639
-3,7,7,0,0,0.5,0.837758041,1.677,1.41,0.3,169640
-3,7,7,0,0,0.5,0.837758041,1.72,1.41,0.3,169641
-3,7,7,0,0,0.5,0.837758041,1.763,1.41,0.3,169642
-3,7,7,0,0,0.5,0.837758041,1.806,1.41,0.3,169643
-3,7,7,0,0,0.5,0.837758041,1.849,1.41,0.3,169644
-3,7,7,0,0,0.5,0.837758041,1.892,1.41,0.3,169645
-3,7,7,0,0,0.5,0.837758041,1.935,1.41,0.3,169646
-3,7,7,0,0,0.5,0.837758041,1.978,1.41,0.3,169647
-3,7,7,0,0,0.5,0.837758041,2.021,1.41,0.3,169648
-3,7,7,0,0,0.5,0.837758041,2.064,1.41,0.3,169649
-3,7,7,0,0,0.5,0.837758041,2.107,1.41,0.3,169650
-3,7,7,0,0,0.5,0.837758041,2.15,1.41,0.3,169651
-3,7,7,0,0,0.5,0.837758041,2.193,1.41,0.3,169652
-3,7,7,0,0,0.5,0.837758041,2.236,1.41,0.3,169653
-3,7,7,0,0,0.5,0.837758041,2.279,1.41,0.3,169654
-3,7,7,0,0,0.5,0.837758041,2.322,1.41,0.3,169655
-3,7,7,0,0,0.5,0.837758041,2.365,1.41,0.3,169656
-3,7,7,0,0,0.5,0.837758041,2.408,1.41,0.3,169657
-3,7,7,0,0,0.5,0.837758041,2.451,1.41,0.3,169658
-3,7,7,0,0,0.5,0.837758041,2.494,1.41,0.3,169659
-3,7,7,0,0,0.5,0.837758041,2.537,1.41,0.3,169660
-3,7,7,0,0,0.5,0.837758041,2.58,1.41,0.3,169661
-3,7,7,0,0,0.5,0.837758041,2.623,1.41,0.3,169662
-3,7,7,0,0,0.5,0.837758041,2.666,1.41,0.3,169663
-3,7,7,0,0,0.5,0.837758041,2.709,1.41,0.3,169664
-3,7,7,0,0,0.5,0.837758041,2.752,1.41,0.3,169665
-3,7,7,0,0,0.5,0.837758041,2.795,1.41,0.3,169666
-3,7,7,0,0,0.5,0.837758041,2.838,1.41,0.3,169667
-3,7,7,0,0,0.5,0.837758041,2.881,1.41,0.3,169668
-3,7,7,0,0,0.5,0.837758041,2.924,1.41,0.3,169669
-3,7,7,0,0,0.5,0.837758041,2.967,1.41,0.3,169670
-3,7,7,0,0,0.5,0.837758041,3.01,1.41,0.3,169671
-3,7,7,0,0,0.5,0.837758041,3.053,1.41,0.3,169672
-3,7,7,0,0,0.5,0.837758041,3.096,1.41,0.3,169673
-3,7,7,0,0,0.5,0.837758041,3.139,1.41,0.3,169674
-3,7,7,0,0,0.5,0.837758041,3.182,1.41,0.3,169675
-3,7,7,0,0,0.5,0.837758041,3.225,1.41,0.3,169676
-3,7,7,0,0,0.5,0.837758041,3.268,1.41,0.3,169677
-3,7,7,0,0,0.5,0.837758041,3.311,1.41,0.3,169678
-3,7,7,0,0,0.5,0.837758041,3.354,1.41,0.3,169679
-3,7,7,0,0,0.5,0.837758041,3.397,1.41,0.3,169680
-3,7,7,0,0,0.5,0.837758041,3.44,1.41,0.3,169681
-3,7,7,0,0,0.5,0.837758041,3.483,1.41,0.3,169682
-3,7,7,0,0,0.5,0.837758041,3.526,1.41,0.3,169683
-3,7,7,0,0,0.5,0.837758041,3.569,1.41,0.3,169684
-3,7,7,0,0,0.5,0.837758041,3.612,1.41,0.3,169685
-3,7,7,0,0,0.5,0.837758041,3.655,1.41,0.3,169686
-3,7,7,0,0,0.5,0.837758041,3.698,1.41,0.3,169687
-3,7,7,0,0,0.5,0.837758041,3.741,1.41,0.3,169688
-3,7,7,0,0,0.5,0.837758041,3.784,1.41,0.3,169689
-3,7,7,0,0,0.5,0.837758041,3.827,1.41,0.3,169690
-3,7,7,0,0,0.5,0.837758041,3.87,1.41,0.3,169691
-3,7,7,0,0,0.5,0.837758041,3.913,1.41,0.3,169692
-3,7,7,0,0,0.5,0.837758041,3.956,1.41,0.3,169693
-3,7,7,0,0,0.5,0.837758041,3.999,1.41,0.3,169694
-3,7,7,0,0,0.5,0.837758041,4.042,1.41,0.3,169695
-3,7,7,0,0,0.5,0.837758041,4.085,1.41,0.3,169696
-3,7,7,0,0,0.5,0.837758041,4.128,1.41,0.3,169697
-3,7,7,0,0,0.5,0.837758041,4.171,1.41,0.3,169698
-3,7,7,0,0,0.5,0.837758041,4.214,1.41,0.3,169699
-3,7,7,0,0,0.5,0.837758041,4.257,1.41,0.3,169700
-3,7,7.5,0,0,0.5,0.837758041,0,1.41,0.3,169701
-3,7,7.5,0,0,0.5,0.837758041,0.043,1.41,0.3,169702
-3,7,7.5,0,0,0.5,0.837758041,0.086,1.41,0.3,169703
-3,7,7.5,0,0,0.5,0.837758041,0.129,1.41,0.3,169704
-3,7,7.5,0,0,0.5,0.837758041,0.172,1.41,0.3,169705
-3,7,7.5,0,0,0.5,0.837758041,0.215,1.41,0.3,169706
-3,7,7.5,0,0,0.5,0.837758041,0.258,1.41,0.3,169707
-3,7,7.5,0,0,0.5,0.837758041,0.301,1.41,0.3,169708
-3,7,7.5,0,0,0.5,0.837758041,0.344,1.41,0.3,169709
-3,7,7.5,0,0,0.5,0.837758041,0.387,1.41,0.3,169710
-3,7,7.5,0,0,0.5,0.837758041,0.43,1.41,0.3,169711
-3,7,7.5,0,0,0.5,0.837758041,0.473,1.41,0.3,169712
-3,7,7.5,0,0,0.5,0.837758041,0.516,1.41,0.3,169713
-3,7,7.5,0,0,0.5,0.837758041,0.559,1.41,0.3,169714
-3,7,7.5,0,0,0.5,0.837758041,0.602,1.41,0.3,169715
